ID,mode,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,ld_PC1,ld_PC2,ld_PC3,ld_PC4,ld_PC5,ld_PC6,ld_PC7,ld_PC8,ld_PC9,ld_PC10,ID_down,species_down,mode_down,down_PC1,down_PC2,down_PC3,down_PC4,down_PC5,down_PC6,down_PC7,down_PC8,down_PC9,down_PC10,downLD_PC1,downLD_PC2,downLD_PC3,downLD_PC4,downLD_PC5,downLD_PC6,downLD_PC7,downLD_PC8,downLD_PC9,downLD_PC10,,,,,,,,,,,,
TF9_153_Ls,1,2,0.0445436,-0.00788926,0.0684904,-0.00174516,0.0164244,-0.00989936,0.00514024,-0.0449092,0.0179573,0.0348474,0.0380015,-0.0129065,0.0703343,-0.00447675,0.0123666,-0.00313401,-0.00159134,-0.00221103,-0.00520029,-0.0280146,W_sax_04_Ls,2,1,0.0362082,0.0135363,-0.0796612,0.153175,-0.0203242,0.1671,-0.0338952,0.0266012,0.0627036,0.000720251,0.0407643,0.0245107,-0.100982,-0.107586,-0.0220862,0.201101,0.0122423,0.0325052,-0.0300558,0.0214737,,,,,,,,,,,,
TF9_157_Ls,1,2,0.0446068,-0.00753835,0.0610176,-0.00247173,0.0175076,-0.00903598,0.00875767,-0.0439388,0.0170009,0.0333178,0.0380675,-0.0125706,0.0626404,-0.00502017,0.0142084,-0.000930987,0.000172241,-0.00274799,-0.00562991,-0.0296285,York_B-12_Ls,2,1,0.0754894,-0.46677,0.102529,-0.0381438,0.0223569,0.0244051,-0.0321048,-0.0328052,0.00769895,-0.00627147,0.0786607,-0.473247,0.0770536,0.00899133,0.0109703,0.0190944,0.00143789,-0.014661,-0.0327552,0.027471,,,,,,,,,,,,
TWF_1,1,2,0.0514058,-0.0138472,0.0517909,-0.00890345,0.0568897,-0.0636798,0.0360894,-0.0762153,-0.0383583,0.00443473,0.046821,-0.0199211,0.0592527,-0.0119499,0.0668023,-0.00782018,-0.0421376,0.00347192,0.00431686,-0.103579,York_B-1_Ls,2,1,0.0771278,-0.482285,0.105774,-0.0399445,0.0221925,0.0227052,-0.0331372,-0.0355319,0.00869297,-0.0067592,0.0794186,-0.482463,0.0788355,0.00902819,0.0106405,0.0176279,0.00301061,-0.0145006,-0.0338749,0.0273018,,,,,,,,,,,,
TWF_2,1,2,0.0526467,-0.0137749,0.0563499,-0.00819659,0.056304,-0.0667922,0.0345435,-0.0722507,-0.0407757,0.00217781,0.0479388,-0.0198969,0.0649745,-0.0117533,0.0661654,-0.00906962,-0.0476614,0.00379343,0.0053117,-0.0997725,York_T-3_Ls,2,1,0.0648571,-0.439742,0.0903838,-0.036421,0.0283466,0.0444227,-0.0264908,-0.0307707,-0.00148236,-0.00654003,0.0695618,-0.452552,0.0702841,0.00964198,0.0138595,0.0258363,-0.00987176,-0.0147025,-0.0353853,0.0265846,,,,,,,,,,,,
TWF_3,1,2,0.05154,-0.0133788,0.0510655,-0.00858201,0.0579862,-0.0674921,0.0383662,-0.0751351,-0.0389006,0.00456874,0.0470768,-0.0193067,0.0587835,-0.0115211,0.0694505,-0.00680184,-0.0476316,0.00362384,0.00493522,-0.106377,York_T-9_Ls,2,1,0.0785227,-0.465851,0.104209,-0.0376475,0.0206407,0.0183396,-0.0313553,-0.0320381,0.0101769,-0.00450772,0.0808901,-0.471535,0.0777921,0.00840053,0.0102535,0.0160922,0.00455915,-0.0137955,-0.0307513,0.0260176,,,,,,,,,,,,
NOR_Lsax_F_2,1,2,0.0453518,-0.00798392,0.0556934,-0.000490056,0.0166075,-0.0113561,0.0136782,-0.0454629,0.0156074,0.0334882,0.039361,-0.0130385,0.0565631,-0.00305696,0.0139941,3.78E-05,-0.00164874,-0.00459992,-0.00518019,-0.0353401,TF9_153_Ls,2,1,0.072147,0.0122196,0.0033079,-0.0286584,-0.0341922,-0.0602797,0.0512364,0.0835803,0.0202283,0.0351798,0.0729745,0.0161859,0.0100169,0.0431003,-0.0212301,-0.0421563,0.0104747,0.0327351,0.0712781,-0.0704601,,,,,,,,,,,,
STA_Lsax_F_2,1,2,0.0469826,-0.0111546,0.0643703,-0.00478987,0.0344335,-0.0296629,0.0177265,-0.0522236,-0.0168111,0.014881,0.0406392,-0.0160892,0.0693498,-0.00764316,0.0338152,-0.00423006,-0.0170842,0.000788429,0.000893924,-0.0514043,WS_female_Ls,2,1,0.0732436,0.0194032,0.00730881,-0.0349003,-0.019103,-0.037993,0.039072,0.0711203,0.0197053,0.00166376,0.0732267,0.0223569,0.016148,0.0485662,-0.00948788,-0.0287884,0.00603675,0.0198435,0.0489851,-0.0432798,,,,,,,,,,,,
SWE_Lten_F,1,2,0.0502158,-0.0123774,0.0753695,-0.00496502,0.0439937,-0.0351488,0.0263767,-0.0770805,-0.0248935,0.017849,0.044206,-0.017622,0.0832569,-0.0078278,0.0452475,-0.0039303,-0.0180714,0.00149109,0.000947736,-0.0762787,WS_male_Ls,2,1,0.0741315,0.0189922,0.00866754,-0.0331218,-0.020491,-0.0434909,0.0387799,0.0695329,0.0202611,0.00673761,0.0745664,0.0215452,0.0169539,0.0468681,-0.00939002,-0.0307249,0.00764306,0.0196055,0.04889,-0.0409958,,,,,,,,,,,,
BUR_Lsax_F,1,6,-0.133347,-0.0347394,-0.0521311,0.673851,0.0156509,-0.0760451,-0.103391,-0.0445698,-0.0104855,0.00534861,-0.0834525,-0.0026084,-0.0579652,0.646922,0.0168659,-0.25056,-0.021203,0.00116321,0.00668276,-0.0269903,CEA_Larc_F_2,2,1,0.0630697,-0.00304365,-0.0288073,0.073056,-0.0496425,-0.109959,0.0942415,0.177357,0.0342675,0.160181,0.0677733,0.00426536,-0.0585696,-0.0580125,-0.0342431,-0.0434641,0.0606989,0.071141,0.294165,-0.499218,,,,,,,,,,,,
BUR_Lsax_M,1,6,-0.132463,-0.0343312,-0.0538859,0.670218,0.0126469,-0.069955,-0.0938746,-0.0431367,0.00561447,-0.0264549,-0.0824368,-0.00142151,-0.0616194,0.646228,0.0131765,-0.242898,-0.00750545,0.00099227,-0.00795081,-0.0184921,CEA_Lsax_F_1,2,1,0.0648441,-0.00494605,-0.0260629,0.0725057,-0.0499814,-0.113849,0.0920255,0.178141,0.0359772,0.166925,0.069664,0.00177557,-0.0554216,-0.0561062,-0.0337855,-0.0446709,0.0636163,0.0688902,0.294126,-0.495985,,,,,,,,,,,,
