row,differ
Lsa_00058098,none
Lsa_00011102,none
Lsa_00011102,none
Lsa_00056965,none
Lsa_00019373,none
Lsa_00019373,none
Lsa_00019372,none
Lsa_00019372,none
Lsa_00038521,none
Lsa_00038521,none
Lsa_00038521,none
Lsa_00038521,none
Lsa_00038521,none
Lsa_00056969,none
Lsa_00024002,none
Lsa_00038527,repr
Lsa_00024006,none
Lsa_00024006,none
Lsa_00005172,none
Lsa_00005178,none
Lsa_00026258,none
Lsa_00026258,none
Lsa_00018424,none
Lsa_00018424,none
Lsa_00018425,none
Lsa_00018426,none
Lsa_00018426,none
Lsa_00018420,none
Lsa_00018421,none
Lsa_00018423,none
Lsa_00048073,none
Lsa_00018429,none
Lsa_00018429,none
Lsa_00018429,none
Lsa_00027166,none
Lsa_00027166,none
Lsa_00048672,none
Lsa_00048672,none
Lsa_00017191,none
Lsa_00017191,none
Lsa_00017191,none
Lsa_00017191,none
Lsa_00017193,none
Lsa_00023811,foot
Lsa_00058265,none
Lsa_00002332,none
Lsa_00002331,none
Lsa_00002334,none
Lsa_00002339,none
Lsa_00002338,none
Lsa_00016570,none
Lsa_00016570,none
Lsa_00016570,none
Lsa_00016570,none
Lsa_00016571,none
Lsa_00016571,none
Lsa_00016571,none
Lsa_00016571,none
Lsa_00016578,none
Lsa_00050478,none
Lsa_00050478,none
Lsa_00050478,none
Lsa_00050476,none
Lsa_00020191,repr
Lsa_00006521,none
Lsa_00006521,none
Lsa_00044490,repr
Lsa_00043440,none
Lsa_00026038,repr
Lsa_00034275,none
Lsa_00034275,none
Lsa_00034275,none
Lsa_00034275,none
Lsa_00034275,none
Lsa_00012470,none
Lsa_00012473,none
Lsa_00012473,none
Lsa_00012473,none
Lsa_00012473,none
Lsa_00012473,none
Lsa_00012473,none
Lsa_00037331,none
Lsa_00037331,none
Lsa_00000200,none
Lsa_00045729,none
Lsa_00045728,none
Lsa_00045722,none
Lsa_00045722,none
Lsa_00045722,none
Lsa_00045727,none
Lsa_00047377,none
Lsa_00047373,repr
Lsa_00004963,none
Lsa_00004963,none
Lsa_00004963,none
Lsa_00004967,none
Lsa_00016472,none
Lsa_00036762,none
Lsa_00036762,none
Lsa_00015124,none
Lsa_00036760,none
Lsa_00036760,none
Lsa_00028896,none
Lsa_00028896,none
Lsa_00028896,none
Lsa_00028896,none
Lsa_00028896,none
Lsa_00028896,none
Lsa_00028896,none
Lsa_00028896,none
Lsa_00028896,none
Lsa_00028896,none
Lsa_00028896,none
Lsa_00028897,none
Lsa_00028897,none
Lsa_00028897,none
Lsa_00003204,foot
Lsa_00020560,none
Lsa_00020560,none
Lsa_00020560,none
Lsa_00003207,none
Lsa_00040803,none
Lsa_00040804,none
Lsa_00055126,none
Lsa_00046409,none
Lsa_00028197,none
Lsa_00028197,none
Lsa_00028197,none
Lsa_00028196,none
Lsa_00028196,none
Lsa_00028196,none
Lsa_00028196,none
Lsa_00028196,none
Lsa_00028196,none
Lsa_00028196,none
Lsa_00028193,none
Lsa_00028191,none
Lsa_00028199,none
Lsa_00017331,none
Lsa_00030351,none
Lsa_00030352,none
Lsa_00030353,none
Lsa_00030353,none
Lsa_00030354,none
Lsa_00030354,none
Lsa_00030354,none
Lsa_00030354,none
Lsa_00030356,none
Lsa_00032846,repr
Lsa_00046052,none
Lsa_00037876,none
Lsa_00037876,none
Lsa_00037877,foot
Lsa_00037877,foot
Lsa_00037877,foot
Lsa_00013274,repr
Lsa_00013274,repr
Lsa_00013274,repr
Lsa_00013274,repr
Lsa_00013271,none
Lsa_00013271,none
Lsa_00013271,none
Lsa_00013273,none
Lsa_00045262,repr
Lsa_00018755,none
Lsa_00018755,none
Lsa_00052109,none
Lsa_00059307,none
Lsa_00026879,none
Lsa_00026879,none
Lsa_00033073,none
Lsa_00033073,none
