row,tissue_diff_2nd_analysis
Lsa_00009670,both
Lsa_00018015,NA
Lsa_00017099,arc
Lsa_00017094,NA
Lsa_00017094,NA
Lsa_00017094,NA
Lsa_00017094,NA
Lsa_00017094,NA
Lsa_00017095,NA
Lsa_00017095,NA
Lsa_00017095,NA
Lsa_00017095,NA
Lsa_00017093,NA
Lsa_00017093,NA
Lsa_00002760,NA
Lsa_00002760,NA
Lsa_00002760,NA
Lsa_00002760,NA
Lsa_00002760,NA
Lsa_00002764,NA
Lsa_00002764,NA
Lsa_00002765,NA
Lsa_00002766,NA
Lsa_00002766,NA
Lsa_00047842,NA
Lsa_00004972,NA
Lsa_00004972,NA
Lsa_00004972,NA
Lsa_00036860,NA
Lsa_00036860,NA
Lsa_00014673,NA
Lsa_00014675,NA
Lsa_00014674,NA
Lsa_00036861,NA
Lsa_00036861,NA
Lsa_00017329,NA
Lsa_00017329,NA
Lsa_00017329,NA
Lsa_00017329,NA
Lsa_00017329,NA
Lsa_00017329,NA
Lsa_00017326,NA
Lsa_00012787,NA
Lsa_00012787,NA
Lsa_00012787,NA
Lsa_00012787,NA
Lsa_00012787,NA
Lsa_00012787,NA
Lsa_00012786,NA
Lsa_00012784,NA
Lsa_00012781,sax
Lsa_00012788,NA
Lsa_00012788,NA
Lsa_00012788,NA
Lsa_00057270,NA
Lsa_00041953,NA
Lsa_00041950,arc
Lsa_00041951,arc
Lsa_00041951,arc
Lsa_00041951,arc
Lsa_00041951,arc
Lsa_00041951,arc
Lsa_00041951,arc
Lsa_00039827,NA
Lsa_00015789,NA
Lsa_00015789,NA
Lsa_00015789,NA
Lsa_00015786,NA
Lsa_00015786,NA
Lsa_00015787,NA
Lsa_00015787,NA
Lsa_00015787,NA
Lsa_00015787,NA
Lsa_00033564,NA
Lsa_00015250,NA
Lsa_00015250,NA
Lsa_00015251,NA
Lsa_00015252,NA
Lsa_00015252,NA
Lsa_00015252,NA
Lsa_00015252,NA
Lsa_00015252,NA
Lsa_00015253,NA
Lsa_00015255,NA
Lsa_00015255,NA
Lsa_00015256,NA
Lsa_00015256,NA
Lsa_00015256,NA
Lsa_00003381,both
Lsa_00003381,both
Lsa_00003381,both
Lsa_00003382,arc
Lsa_00003382,arc
Lsa_00003388,NA
Lsa_00003388,NA
Lsa_00003388,NA
Lsa_00054704,NA
Lsa_00007606,NA
Lsa_00013959,sax
Lsa_00013950,NA
Lsa_00013950,NA
Lsa_00013953,NA
Lsa_00013953,NA
Lsa_00013953,NA
Lsa_00013955,NA
Lsa_00013954,NA
Lsa_00013954,NA
Lsa_00013954,NA
Lsa_00013957,sax
Lsa_00035034,NA
Lsa_00035032,NA
Lsa_00035033,NA
Lsa_00027334,NA
Lsa_00031902,NA
Lsa_00031902,NA
Lsa_00031902,NA
Lsa_00031902,NA
Lsa_00038880,arc
Lsa_00008002,NA
Lsa_00008002,NA
Lsa_00008002,NA
Lsa_00008002,NA
Lsa_00008002,NA
Lsa_00008002,NA
Lsa_00008002,NA
Lsa_00008002,NA
Lsa_00008002,NA
Lsa_00001527,NA
Lsa_00001525,NA
Lsa_00001525,NA
Lsa_00001525,NA
Lsa_00001525,NA
Lsa_00001529,NA
Lsa_00001529,NA
Lsa_00040185,NA
Lsa_00040185,NA
Lsa_00040673,NA
Lsa_00013749,NA
Lsa_00046928,both
Lsa_00037688,NA
Lsa_00037687,arc
Lsa_00028635,NA
Lsa_00028635,NA
Lsa_00028635,NA
Lsa_00039596,NA
Lsa_00034349,NA
Lsa_00034349,NA
Lsa_00034349,NA
Lsa_00034349,NA
Lsa_00034349,NA
Lsa_00034349,NA
Lsa_00037534,NA
Lsa_00037534,NA
Lsa_00037534,NA
Lsa_00037536,NA
Lsa_00037536,NA
Lsa_00037536,NA
Lsa_00037536,NA
Lsa_00037536,NA
Lsa_00037536,NA
Lsa_00031273,NA
Lsa_00031273,NA
Lsa_00009068,NA
Lsa_00009068,NA
Lsa_00009066,NA
Lsa_00007652,NA
Lsa_00007652,NA
Lsa_00033691,both
Lsa_00033691,both
Lsa_00038310,NA
Lsa_00038312,NA
Lsa_00038312,NA
Lsa_00038312,NA
Lsa_00024631,NA
Lsa_00024635,NA
Lsa_00024635,NA
Lsa_00046939,NA
Lsa_00035595,NA
Lsa_00035595,NA
Lsa_00035594,NA
Lsa_00035596,NA
Lsa_00045159,NA
Lsa_00008821,NA
Lsa_00008821,NA
Lsa_00025878,NA
Lsa_00025878,NA
Lsa_00025878,NA
Lsa_00025878,NA
Lsa_00045157,sax
Lsa_00012218,NA
Lsa_00012218,NA
Lsa_00012218,NA
Lsa_00014164,NA
Lsa_00014164,NA
Lsa_00022775,NA
Lsa_00022775,NA
Lsa_00022775,NA
Lsa_00022775,NA
Lsa_00022775,NA
Lsa_00022775,NA
Lsa_00022775,NA
Lsa_00022776,NA
Lsa_00022776,NA
Lsa_00022770,NA
Lsa_00022770,NA
Lsa_00022770,NA
Lsa_00022770,NA
Lsa_00022770,NA
Lsa_00022770,NA
Lsa_00025278,NA
Lsa_00025278,NA
Lsa_00025278,NA
Lsa_00025278,NA
Lsa_00025278,NA
Lsa_00060469,NA
Lsa_00060468,NA
Lsa_00019758,both
Lsa_00008536,sax
Lsa_00008536,sax
Lsa_00008536,sax
Lsa_00043203,NA
Lsa_00043203,NA
Lsa_00043203,NA
Lsa_00043203,NA
Lsa_00008533,NA
Lsa_00008533,NA
Lsa_00008532,NA
Lsa_00005031,NA
Lsa_00005036,NA
Lsa_00021958,NA
Lsa_00007435,NA
Lsa_00007435,NA
Lsa_00007435,NA
Lsa_00007435,NA
Lsa_00002539,both
Lsa_00002539,both
Lsa_00048400,NA
Lsa_00053586,both
Lsa_00027657,NA
Lsa_00027651,NA
Lsa_00027651,NA
Lsa_00018781,NA
Lsa_00018780,NA
Lsa_00018780,NA
Lsa_00018788,NA
Lsa_00018788,NA
Lsa_00018788,NA
Lsa_00018788,NA
Lsa_00018788,NA
Lsa_00054740,NA
Lsa_00028212,NA
Lsa_00028212,NA
Lsa_00028212,NA
Lsa_00002564,NA
Lsa_00052984,NA
Lsa_00052671,NA
Lsa_00020382,both
Lsa_00057000,NA
Lsa_00057007,NA
Lsa_00057006,NA
Lsa_00056354,sax
Lsa_00049469,NA
Lsa_00049469,NA
Lsa_00020375,arc
Lsa_00020375,arc
Lsa_00058587,NA
Lsa_00045053,NA
Lsa_00026072,arc
Lsa_00026072,arc
Lsa_00026072,arc
Lsa_00026072,arc
Lsa_00006710,NA
Lsa_00006719,NA
Lsa_00006719,NA
Lsa_00006719,NA
Lsa_00006719,NA
Lsa_00007040,NA
Lsa_00007040,NA
Lsa_00007040,NA
Lsa_00007046,NA
Lsa_00007046,NA
Lsa_00007044,both
Lsa_00007045,NA
Lsa_00057914,NA
Lsa_00057916,NA
Lsa_00021166,NA
Lsa_00053498,NA
Lsa_00010994,NA
Lsa_00010994,NA
Lsa_00010994,NA
Lsa_00047239,NA
Lsa_00023175,NA
Lsa_00006175,NA
Lsa_00006175,NA
Lsa_00012844,NA
Lsa_00012844,NA
Lsa_00012846,NA
Lsa_00012846,NA
Lsa_00012846,NA
Lsa_00012847,both
Lsa_00028431,NA
Lsa_00028434,both
Lsa_00004027,NA
Lsa_00004027,NA
Lsa_00040614,NA
Lsa_00005996,NA
Lsa_00005996,NA
Lsa_00005997,NA
Lsa_00005997,NA
Lsa_00005997,NA
Lsa_00044761,NA
Lsa_00015865,NA
Lsa_00015865,NA
Lsa_00039205,NA
Lsa_00039205,NA
Lsa_00039205,NA
Lsa_00015868,NA
Lsa_00015868,NA
Lsa_00015868,NA
Lsa_00015868,NA
Lsa_00015868,NA
Lsa_00039202,NA
Lsa_00014198,NA
Lsa_00014198,NA
Lsa_00014198,NA
Lsa_00026521,NA
Lsa_00032577,both
Lsa_00020032,NA
Lsa_00053491,NA
Lsa_00005370,NA
Lsa_00005376,NA
Lsa_00005376,NA
Lsa_00005376,NA
Lsa_00005376,NA
Lsa_00013083,NA
Lsa_00013083,NA
Lsa_00013083,NA
Lsa_00013084,NA
Lsa_00013084,NA
Lsa_00045494,both
Lsa_00014735,NA
Lsa_00014735,NA
Lsa_00014735,NA
Lsa_00014735,NA
Lsa_00014735,NA
Lsa_00014735,NA
Lsa_00014737,both
Lsa_00014737,both
Lsa_00014733,NA
Lsa_00013330,NA
Lsa_00013330,NA
Lsa_00015475,NA
Lsa_00015473,NA
Lsa_00015473,NA
Lsa_00012062,arc
Lsa_00012063,NA
Lsa_00012063,NA
Lsa_00012060,NA
Lsa_00012060,NA
Lsa_00012061,arc
Lsa_00012064,arc
Lsa_00012064,arc
Lsa_00012064,arc
Lsa_00012064,arc
Lsa_00012065,NA
Lsa_00012065,NA
Lsa_00012065,NA
Lsa_00012065,NA
Lsa_00011230,NA
Lsa_00003027,NA
Lsa_00003027,NA
Lsa_00003027,NA
Lsa_00003027,NA
Lsa_00003027,NA
Lsa_00003027,NA
Lsa_00003021,NA
Lsa_00003021,NA
Lsa_00003021,NA
Lsa_00003021,NA
Lsa_00003021,NA
Lsa_00003021,NA
Lsa_00003021,NA
Lsa_00003021,NA
