"","S_pvt_north_temp","S_pvt_spain_temp","S_shared_temp","S_prop_pvt_north_temp","S_prop_pvt_spain_temp","S_count_higher_spain_temp","S_prop_higer_spain_temp"
"219",683,1079,154,0.816009557945042,0.875101378751014,1,1
"220",851,1056,177,0.827821011673152,0.856447688564477,1,1
"221",753,1077,156,0.828382838283828,0.873479318734793,1,1
"222",631,1092,141,0.817357512953368,0.885644768856448,1,1
"223",753,1076,157,0.827472527472527,0.872668288726683,1,1
"224",722,1080,153,0.825142857142857,0.875912408759124,1,1
"225",963,1052,181,0.841783216783217,0.853203568532036,1,1
"226",714,1074,159,0.81786941580756,0.871046228710462,1,1
"227",773,1067,166,0.82321618743344,0.86536901865369,1,1
"228",747,1076,157,0.826327433628319,0.872668288726683,1,1
"229",717,1066,167,0.811085972850679,0.86455798864558,1,1
"230",796,1070,163,0.830031282586027,0.867802108678021,1,1
"231",769,1067,166,0.822459893048128,0.86536901865369,1,1
"232",943,1050,183,0.837477797513322,0.851581508515815,1,1
"233",824,1062,171,0.828140703517588,0.861313868613139,1,1
"234",750,1070,163,0.821467688937568,0.867802108678021,1,1
"235",787,1061,172,0.820646506777894,0.860502838605028,1,1
"236",661,1078,155,0.810049019607843,0.874290348742903,1,1
"237",913,1061,172,0.84147465437788,0.860502838605028,1,1
"238",698,1073,160,0.813519813519814,0.870235198702352,1,1
"239",760,1058,175,0.812834224598931,0.858069748580698,1,1
"240",892,1059,174,0.836772983114446,0.858880778588808,1,1
"241",755,1068,165,0.820652173913043,0.866180048661801,1,1
"242",741,1073,160,0.822419533851276,0.870235198702352,1,1
"243",794,1080,153,0.83843717001056,0.875912408759124,1,1
"244",822,1067,166,0.831983805668016,0.86536901865369,1,1
"245",741,1070,163,0.819690265486726,0.867802108678021,1,1
"246",745,1083,150,0.832402234636871,0.878345498783455,1,1
"247",748,1085,148,0.834821428571429,0.879967558799676,1,1
"248",835,1068,165,0.835,0.866180048661801,1,1
"249",772,1068,165,0.823906083244397,0.866180048661801,1,1
"250",902,1067,166,0.844569288389513,0.86536901865369,1,1
"251",922,1045,188,0.830630630630631,0.847526358475264,1,1
"252",768,1086,147,0.839344262295082,0.880778588807786,1,1
"253",749,1070,163,0.821271929824561,0.867802108678021,1,1
"254",872,1062,171,0.836049856184084,0.861313868613139,1,1
"255",814,1074,159,0.836587872559096,0.871046228710462,1,1
"256",745,1067,166,0.817782656421515,0.86536901865369,1,1
"257",736,1061,172,0.81057268722467,0.860502838605028,1,1
"258",852,1059,174,0.830409356725146,0.858880778588808,1,1
"259",752,1077,156,0.828193832599119,0.873479318734793,1,1
"260",795,1068,165,0.828125,0.866180048661801,1,1
"261",845,1066,167,0.83498023715415,0.86455798864558,1,1
"262",831,1070,163,0.836016096579477,0.867802108678021,1,1
"263",777,1062,171,0.819620253164557,0.861313868613139,1,1
"264",734,1069,164,0.817371937639198,0.866991078669911,1,1
"265",807,1065,168,0.827692307692308,0.86374695863747,1,1
"266",638,1082,151,0.808618504435995,0.877534468775345,1,1
"267",839,1065,168,0.833167825223436,0.86374695863747,1,1
"268",684,1080,153,0.817204301075269,0.875912408759124,1,1
"269",837,1065,168,0.832835820895522,0.86374695863747,1,1
"270",733,1078,155,0.82545045045045,0.874290348742903,1,1
"271",803,1056,177,0.819387755102041,0.856447688564477,1,1
"272",758,1073,160,0.825708061002179,0.870235198702352,1,1
"273",690,1065,168,0.804195804195804,0.86374695863747,1,1
"274",807,1072,161,0.833677685950413,0.869424168694242,1,1
"275",748,1067,166,0.818380743982494,0.86536901865369,1,1
"276",689,1077,156,0.815384615384615,0.873479318734793,1,1
"277",763,1061,172,0.816042780748663,0.860502838605028,1,1
"278",800,1070,163,0.83073727933541,0.867802108678021,1,1
"279",773,1076,157,0.831182795698925,0.872668288726683,1,1
"280",801,1070,163,0.830912863070539,0.867802108678021,1,1
"281",745,1077,156,0.826859045504994,0.873479318734793,1,1
"282",723,1065,168,0.811447811447811,0.86374695863747,1,1
